2025-03-23 14:35:00.812 INFO  o.e.a.AdventureTimeApplication - Starting AdventureTimeApplication using Java 23.0.2 with PID 2768 (C:\Users\alexe\IdeaProjects\AdventureTime\target\classes started by alexe in C:\Users\alexe\IdeaProjects\AdventureTime)
2025-03-23 14:35:38.202 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: CountryController.getPathParams(..) с результатом: ResponseDto(message=The country with ID 5 is not found.)
2025-03-23 14:35:48.060 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: CountryController.getPathParams(..) с аргументами: [11]
2025-03-23 14:35:48.060 INFO  o.e.a.logging.LoggingAspect - Попытка получить Страна с ID 11 из кэша
2025-03-23 14:35:48.060 INFO  o.e.a.logging.LoggingAspect - Страна с ID 11 не найден в кэше
2025-03-23 14:35:48.064 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: CountryController.getPathParams(..) с результатом: ResponseDto(message=The country with ID 11 is not found.)
2025-03-23 14:35:53.052 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: CountryController.getPathParams(..) с аргументами: [1]
2025-03-23 14:35:53.052 INFO  o.e.a.logging.LoggingAspect - Попытка получить Страна с ID 1 из кэша
2025-03-23 14:35:53.052 INFO  o.e.a.logging.LoggingAspect - Страна с ID 1 не найден в кэше
2025-03-23 14:35:53.056 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: CountryController.getPathParams(..) с результатом: ResponseDto(message=The country with ID 1 is not found.)
2025-03-23 14:35:55.553 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: CountryController.getPathParams(..) с аргументами: [4]
2025-03-23 14:35:55.553 INFO  o.e.a.logging.LoggingAspect - Попытка получить Страна с ID 4 из кэша
2025-03-23 14:35:55.553 INFO  o.e.a.logging.LoggingAspect - Страна с ID 4 не найден в кэше
2025-03-23 14:35:55.553 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: CountryController.getPathParams(..) с результатом: ResponseDto(message=The country with ID 4 is not found.)
2025-03-23 14:36:00.938 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: CountryController.getPathParams(..) с аргументами: [3]
2025-03-23 14:36:00.938 INFO  o.e.a.logging.LoggingAspect - Попытка получить Страна с ID 3 из кэша
2025-03-23 14:36:00.938 INFO  o.e.a.logging.LoggingAspect - Страна с ID 3 не найден в кэше
2025-03-23 14:36:00.977 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Страна с ID 3 в кэше
2025-03-23 14:36:00.977 INFO  o.e.a.logging.LoggingAspect - Страна с ID 3 успешно добавлен/обновлен в кэше
2025-03-23 14:36:00.977 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: CountryController.getPathParams(..) с результатом: ResponseDto(message=The country Belarus is available.)
2025-03-23 14:36:21.251 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [23-03-2025]
2025-03-23 14:36:21.251 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 14:36:41.075 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23]
2025-03-23 14:36:41.079 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@18df64ca,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23.log""]>
2025-03-23 14:36:56.470 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-23 14:36:56.481 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-03-23 14:36:56.486 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-23 14:36:56.489 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-23 14:36:56.499 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-03-23 15:46:28.519 INFO  o.e.a.AdventureTimeApplication - Starting AdventureTimeApplication using Java 23.0.2 with PID 11788 (C:\Users\alexe\IdeaProjects\AdventureTime\target\classes started by alexe in C:\Users\alexe\IdeaProjects\AdventureTime)
2025-03-23 15:46:28.522 INFO  o.e.a.AdventureTimeApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-23 15:46:29.102 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-23 15:46:29.140 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 32 ms. Found 3 JPA repository interfaces.
2025-03-23 15:46:29.773 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-03-23 15:46:29.787 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-23 15:46:29.788 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-23 15:46:29.789 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-03-23 15:46:29.862 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-23 15:46:29.863 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1290 ms
2025-03-23 15:46:30.010 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-23 15:46:30.057 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.5.Final
2025-03-23 15:46:30.089 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-23 15:46:30.310 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-23 15:46:30.330 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-23 15:46:30.448 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@141dfcf9
2025-03-23 15:46:30.449 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-23 15:46:30.481 WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.7.24 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2025-03-23 15:46:30.487 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2025-03-23 15:46:30.510 INFO  o.hibernate.orm.connections.pooling - HHH10001005: Database info:
	Database JDBC URL [Connecting through datasource 'HikariDataSource (HikariPool-1)']
	Database driver: undefined/unknown
	Database version: 5.7.24
	Autocommit mode: undefined/unknown
	Isolation level: undefined/unknown
	Minimum pool size: undefined/unknown
	Maximum pool size: undefined/unknown
2025-03-23 15:46:31.349 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-03-23 15:46:31.444 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-03-23 15:46:31.838 INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2025-03-23 15:46:32.403 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-03-23 15:46:32.476 INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Bean Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2025-03-23 15:46:33.002 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-03-23 15:46:33.024 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-03-23 15:46:33.032 INFO  o.e.a.AdventureTimeApplication - Started AdventureTimeApplication in 4.929 seconds (process running for 5.438)
2025-03-23 15:47:04.969 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-03-23 15:47:04.970 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-03-23 15:47:04.971 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-03-23 15:47:05.023 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-19/INFO, all]
2025-03-23 15:47:05.026 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:47:12.446 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-19/, all]
2025-03-23 15:47:12.446 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:47:19.860 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-19-all, all]
2025-03-23 15:47:19.860 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:47:28.722 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-19-info, all]
2025-03-23 15:47:28.723 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:49:12.185 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:49:12.194 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@4e23ee9c,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:50:45.298 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:50:45.300 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@3d4342c5,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:50:55.744 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:50:55.746 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@7770c3e8,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:51:05.854 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:51:05.857 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@1aaf7884,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:51:17.277 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:51:17.279 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@9028fc6,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:51:53.612 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-2, all]
2025-03-23 15:51:53.613 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:51:58.041 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:51:58.043 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@2f0d02a6,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:52:04.440 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:52:04.442 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@201267bb,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:52:23.373 INFO  o.s.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 512 ms
2025-03-23 15:52:53.524 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, WARN]
2025-03-23 15:52:53.527 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@1dea3192,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-WARN.log""]>
2025-03-23 15:53:34.688 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:53:34.689 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@26377a41,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:53:46.576 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-2, all]
2025-03-23 15:53:46.576 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <400 BAD_REQUEST Bad Request,[]>
2025-03-23 15:53:54.020 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:53:54.022 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@bda0ec5,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:54:53.037 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:54:53.039 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@23359c1c,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:54:58.283 WARN  o.s.w.s.m.s.DefaultHandlerExceptionResolver - Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'date' for method parameter type String is not present]
2025-03-23 15:55:18.736 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, all]
2025-03-23 15:55:18.738 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@5b9272bf,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-all.log""]>
2025-03-23 15:55:48.209 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, ERROR]
2025-03-23 15:55:48.211 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@180b82e0,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-ERROR.log""]>
2025-03-23 15:56:00.303 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, INFO]
2025-03-23 15:56:00.304 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@3727232d,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-INFO.log""]>
2025-03-23 15:56:08.796 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, WARN]
2025-03-23 15:56:08.798 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@1e4304d,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-WARN.log""]>
2025-03-23 15:56:28.939 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, DEGUB]
2025-03-23 15:56:28.941 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@6e30089d,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-DEGUB.log""]>
2025-03-23 15:56:37.924 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, DEBUG]
2025-03-23 15:56:37.925 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@314ff6e7,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-DEBUG.log""]>
2025-03-23 15:56:44.713 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, ERROR]
2025-03-23 15:56:44.715 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@5aa2b439,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-ERROR.log""]>
2025-03-23 15:56:57.458 INFO  o.e.a.logging.LoggingAspect - Вход в метод контроллера: LogController.getLogFile(..) с аргументами: [2025-03-23, WARN]
2025-03-23 15:56:57.460 INFO  o.e.a.logging.LoggingAspect - Выход из метода контроллера: LogController.getLogFile(..) с результатом: <200 OK OK,[B@33e65a05,[Content-Type:"text/plain", Content-Disposition:"form-data; name="attachment"; filename="adventuretime-2025-03-23-WARN.log""]>
2025-03-23 15:59:42.397 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-03-23 15:59:42.404 INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-03-23 15:59:42.409 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-03-23 15:59:42.410 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-03-23 15:59:42.415 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-03-23 16:00:55.889 INFO  o.e.a.AdventureTimeApplication - Starting AdventureTimeApplication using Java 23.0.2 with PID 18908 (C:\Users\alexe\IdeaProjects\AdventureTime\target\classes started by alexe in C:\Users\alexe\IdeaProjects\AdventureTime)
2025-03-23 16:00:55.890 INFO  o.e.a.AdventureTimeApplication - No active profile set, falling back to 1 default profile: "default"
2025-03-23 16:00:56.542 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-03-23 16:00:56.619 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67 ms. Found 3 JPA repository interfaces.
2025-03-23 16:00:57.148 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-03-23 16:00:57.163 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-03-23 16:00:57.164 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-03-23 16:00:57.164 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.34]
2025-03-23 16:00:57.204 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-03-23 16:00:57.204 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1266 ms
2025-03-23 16:00:57.372 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-03-23 16:00:57.423 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.6.5.Final
2025-03-23 16:00:57.456 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-03-23 16:00:57.655 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-03-23 16:00:57.673 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-03-23 16:00:57.757 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@7f77e065
2025-03-23 16:00:57.758 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-03-23 16:00:57.781 WARN  org.hibernate.dialect.Dialect - HHH000511: The 5.7.24 version for [org.hibernate.dialect.MySQLDialect] is no longer supported, hence certain features may not work properly. The minimum supported version is 8.0.0. Check the community dialects project for available legacy versions.
2025-03-23 16:00:57.784 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
