2025-03-30 19:50:54.205 INFO  o.e.a.logging.LoggingAspect - Тур с ID 10 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 11 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 11 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 12 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 12 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 13 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 13 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 14 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 14 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 15 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 15 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 16 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 16 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 17 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 17 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 18 в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Тур с ID 18 успешно добавлен/обновлен в кэше
2025-03-30 19:50:54.207 INFO  o.e.a.logging.LoggingAspect - Добавление/обновление Тур с ID 20 в кэше
